EventID,iz,iy,Left,Right
9,0,0,0,0
9,1,0,0,0
9,2,0,0,0
10,0,0,0,0
10,1,0,0,0
10,2,0,0,0
11,0,0,4,4
11,1,0,7,11
11,2,0,1253,1215
72,0,0,0,0
72,1,0,0,0
72,2,0,0,0
73,0,0,0,0
73,1,0,0,0
73,2,0,0,0
74,0,0,0,0
74,1,0,0,0
74,2,0,0,0
75,0,0,0,0
75,1,0,0,0
75,2,0,0,0
76,0,0,0,0
76,1,0,0,0
76,2,0,0,0
77,0,0,0,0
77,1,0,0,0
77,2,0,0,0
78,0,0,0,0
78,1,0,0,0
78,2,0,0,0
79,0,0,0,0
79,1,0,0,0
79,2,0,0,0
80,0,0,0,0
80,1,0,0,0
80,2,0,0,0
81,0,0,0,0
81,1,0,0,0
81,2,0,0,0
82,0,0,0,0
82,1,0,0,0
82,2,0,0,0
83,0,0,0,0
83,1,0,0,0
83,2,0,0,0
84,0,0,0,0
84,1,0,0,0
84,2,0,0,0
85,0,0,0,0
85,1,0,0,0
85,2,0,0,0
86,0,0,0,0
86,1,0,0,0
86,2,0,0,0
87,0,0,0,0
87,1,0,0,0
87,2,0,0,0
88,0,0,0,0
88,1,0,0,0
88,2,0,0,0
89,0,0,0,2
89,1,0,15,24
89,2,0,1853,2001
18,0,0,0,0
18,1,0,0,0
18,2,0,0,0
19,0,0,0,0
19,1,0,0,0
19,2,0,0,0
20,0,0,0,0
20,1,0,0,0
20,2,0,0,0
27,0,0,0,0
27,1,0,0,0
27,2,0,0,0
28,0,0,0,0
28,1,0,0,0
28,2,0,0,0
29,0,0,0,0
29,1,0,0,0
29,2,0,0,0
42,0,0,0,0
42,1,0,0,0
42,2,0,0,0
43,0,0,0,0
43,1,0,0,0
43,2,0,0,0
44,0,0,0,0
44,1,0,0,0
44,2,0,0,0
45,0,0,4,9
45,1,0,6,16
45,2,0,1374,2719
46,0,0,0,0
46,1,0,0,0
46,2,0,0,0
47,0,0,3,7
47,1,0,11,12
47,2,0,1077,1139
15,0,0,0,0
15,1,0,0,0
15,2,0,0,0
16,0,0,0,0
16,1,0,0,0
16,2,0,0,0
17,0,0,501,232
17,1,0,2,2
17,2,0,0,0
57,0,0,0,0
57,1,0,0,0
57,2,0,0,0
58,0,0,3,6
58,1,0,1460,948
58,2,0,21,7
59,0,0,0,0
59,1,0,0,0
59,2,0,0,0
6,0,0,0,0
6,1,0,0,0
6,2,0,0,0
7,0,0,0,0
7,1,0,0,0
7,2,0,0,0
8,0,0,0,0
8,1,0,0,0
8,2,0,0,0
24,0,0,0,0
24,1,0,0,0
24,2,0,0,0
25,0,0,0,0
25,1,0,0,0
25,2,0,0,0
26,0,0,0,0
26,1,0,0,0
26,2,0,0,0
36,0,0,14,18
36,1,0,1018,2059
36,2,0,3,10
37,0,0,0,0
37,1,0,0,0
37,2,0,0,0
38,0,0,0,0
38,1,0,0,0
38,2,0,0,0
90,0,0,1,9
90,1,0,10,10
90,2,0,839,1199
91,0,0,0,0
91,1,0,0,0
91,2,0,0,0
92,0,0,0,0
92,1,0,0,0
92,2,0,0,0
0,0,0,0,0
0,1,0,0,0
0,2,0,0,0
1,0,0,3,5
1,1,0,664,546
1,2,0,2,5
2,0,0,0,0
2,1,0,0,0
2,2,0,0,0
60,0,0,0,0
60,1,0,0,0
60,2,0,0,0
61,0,0,0,0
61,1,0,0,0
61,2,0,0,0
62,0,0,0,0
62,1,0,0,0
62,2,0,0,0
63,0,0,0,0
63,1,0,0,0
63,2,0,0,0
64,0,0,208,4
64,1,0,4978,329
64,2,0,48,5
65,0,0,1177,2343
65,1,0,12,20
65,2,0,3,4
21,0,0,0,0
21,1,0,0,0
21,2,0,0,0
22,0,0,0,0
22,1,0,0,0
22,2,0,0,0
23,0,0,0,0
23,1,0,0,0
23,2,0,0,0
33,0,0,781,280
33,1,0,2,3
33,2,0,2,1
34,0,0,0,0
34,1,0,0,0
34,2,0,0,0
35,0,0,0,0
35,1,0,0,0
35,2,0,0,0
48,0,0,0,0
48,1,0,0,0
48,2,0,0,0
49,0,0,0,0
49,1,0,0,0
49,2,0,0,0
50,0,0,0,0
50,1,0,0,0
50,2,0,0,0
51,0,0,0,0
51,1,0,0,0
51,2,0,0,0
52,0,0,0,0
52,1,0,0,0
52,2,0,0,0
53,0,0,0,0
53,1,0,0,0
53,2,0,0,0
54,0,0,756,205
54,1,0,6,0
54,2,0,2,0
55,0,0,0,0
55,1,0,0,0
55,2,0,0,0
56,0,0,141,14
56,1,0,5651,398
56,2,0,104,9
66,0,0,0,0
66,1,0,0,0
66,2,0,0,0
67,0,0,0,0
67,1,0,0,0
67,2,0,0,0
68,0,0,0,0
68,1,0,0,0
68,2,0,0,0
69,0,0,19,5
69,1,0,3165,878
69,2,0,18,5
70,0,0,0,0
70,1,0,0,0
70,2,0,0,0
71,0,0,2,2
71,1,0,3,2
71,2,0,410,571
3,0,0,0,0
3,1,0,0,0
3,2,0,0,0
4,0,0,12,16
4,1,0,1117,2111
4,2,0,10,13
5,0,0,1348,267
5,1,0,8,3
5,2,0,3,3
96,0,0,0,0
96,1,0,0,0
96,2,0,0,0
97,0,0,0,0
97,1,0,0,0
97,2,0,0,0
98,0,0,0,0
98,1,0,0,0
98,2,0,0,0
99,0,0,0,0
99,1,0,0,0
99,2,0,0,0
12,0,0,0,0
12,1,0,0,0
12,2,0,0,0
13,0,0,0,0
13,1,0,0,0
13,2,0,0,0
14,0,0,0,0
14,1,0,0,0
14,2,0,0,0
30,0,0,0,0
30,1,0,0,0
30,2,0,0,0
31,0,0,0,0
31,1,0,0,0
31,2,0,0,0
32,0,0,0,0
32,1,0,0,0
32,2,0,0,0
39,0,0,4,7
39,1,0,632,1255
39,2,0,1,5
40,0,0,15,6
40,1,0,27,4
40,2,0,2567,538
41,0,0,0,0
41,1,0,0,0
41,2,0,0,0
93,0,0,0,0
93,1,0,0,0
93,2,0,0,0
94,0,0,8,4
94,1,0,17,12
94,2,0,2089,1583
95,0,0,0,0
95,1,0,0,0
95,2,0,0,0
